"id","type","transect","area","height","lat","long","y","ht_true","z","cellid"
"DAKAS37","segment",0,0.018700000051467,0.1019287109375,42.4685815971679,-112.087246130591,1,NA,101,13
"DAKAS38","segment",0,0.054000000040105,0.171630859375,42.4685787122387,-112.087540697059,1,NA,101,8
"DAKAS39","segment",0,0.066600000003746,0.414306640625,42.468579095345,-112.087481342501,1,NA,101,9
"DAKAS40","segment",0,0.058200000088618,0.1170654296875,42.4685801962141,-112.087355827235,1,NA,101,11
"DAKAS41","segment",1,0.062499999976353,0.13525390625,42.4685813903529,-112.087210972534,1,NA,0,14
"DAKAS42","segment",0,0.022899999951733,0.1392822265625,42.4685818321815,-112.087154903316,1,NA,101,15
"DAKAS43","segment",0,0.032899999906476,0.15087890625,42.4685745185722,-112.087916132613,1,NA,101,2
"DAKAS44","segment",0,0.110499999937019,0.17578125,42.4685773721328,-112.087615483553,1,NA,101,7
"DAKAS45","segment",0,0.050199999923279,0.1375732421875,42.4685766426468,-112.087682860468,1,NA,101,6
"DAKAS46","segment",1,0.058000000053653,0.164794921875,42.4685810821495,-112.087214981379,1,NA,0,14
"DAKAS47","segment",0,0.036299999999756,0.1011962890625,42.4685805881868,-112.087238571337,1,NA,101,13
"DAKAS48","segment",0,0.033199999960743,0.1148681640625,42.4685819091369,-112.087089826289,1,NA,101,16
"DAKAS49","segment",0,0.169700000053126,0.2230224609375,42.4685773927974,-112.087556366006,1,NA,101,8
"DAKAS50","segment",0,0.054900000082853,0.1807861328125,42.4685811291427,-112.087153066522,1,NA,101,15
"DAKAS51","segment",0,0.158599999964281,0.239501953125,42.4685770268946,-112.087575943997,1,NA,101,8
"DAKAS52","segment",0,0.026600000041981,0.1114501953125,42.4685789472242,-112.087373565316,1,NA,101,11
"DAKAS53","segment",0,0.053799999909643,0.1544189453125,42.4685806099132,-112.087198308281,1,NA,101,14
"DAKAS54","segment",0,0.018300000070667,0.15087890625,42.4685810194867,-112.087155132534,1,NA,101,15
"DAKAS55","segment",0,0.013099999960104,0.1195068359375,42.4685816482368,-112.08708884864,1,NA,101,16
"DAKAS56","segment",0,0.067300000017894,0.142333984375,42.4685791641238,-112.087341212356,1,NA,101,12
"DAKAS57","segment",0,0.038099999975202,0.11962890625,42.4685777897073,-112.087476575869,1,NA,101,9
"DAKAS58","segment",0,0.077700000101686,0.148193359375,42.468573496927,-112.087919399247,1,NA,101,2
"DAKAS59","segment",0,0.166300000006231,0.1412353515625,42.4685792667399,-112.087311411895,1,NA,101,12
"DAKAS60","segment",0,0.024099999991449,0.10546875,42.468575663716,-112.0876816271,1,NA,101,6
"DAKAS61","segment",0,0.081999999965774,0.150146484375,42.4685793474684,-112.087293410308,1,NA,101,12
"DAKAS62","segment",0,0.057899999952497,0.169189453125,42.468580235896,-112.087199761509,1,NA,101,14
"DAKAS63","segment",0,0.024299999988216,0.2642822265625,42.4685753693663,-112.087703152598,1,NA,101,6
"DAKAS64","segment",1,0.036899999984598,0.1328125,42.4685800177856,-112.087213259973,1,NA,0,14
