"elev","cid","lat","long","burn","cht","n","dist"
1308.42292099609,257,43.3007034750647,-116.98899045696,0,0.012712765625,21,0
1308.40724390088,258,43.3007034691148,-116.98892881209,0,0.0498885747070313,10,0
1308.39177727441,259,43.3007034631317,-116.988867167219,0,0.0286864663085937,8,0
1308.37444660034,260,43.3007034571153,-116.988805522349,0,2.15118408203125e-05,0,0
1308.98542401514,261,43.3006585426677,-116.989976782285,1,0.0099446044921875,17,73.8241153018963
1308.94835918018,262,43.3006585372494,-116.98991513746,1,0.0059049951171875,3,69.4622199467798
1308.9198724375,263,43.3006585317978,-116.989853492635,1,0.00699759619140625,11,64.9999999988358
1308.88624301953,264,43.300658526313,-116.98979184781,1,0.0069675458984375,6,59.9999999986612
1308.84510804834,265,43.300658520795,-116.989730202985,1,0.0136495249023437,7,54.9999999991851
1308.82858166064,266,43.3006585152437,-116.989668558159,1,0.014609703125,17,50.0000000003492
1308.81137280859,267,43.3006585096593,-116.989606913334,1,0.017225748046875,13,44.9999999980209
1308.78977249658,268,43.3006585040416,-116.989545268509,1,0.0190600473632812,13,39.9999999983702
1308.77032425635,269,43.3006584983907,-116.989483623684,1,0.0248641059570313,18,34.9999999993015
1308.73548810303,270,43.3006584927065,-116.989421978859,1,0.0290183720703125,22,29.9999999988358
1308.70065344434,271,43.3006584869892,-116.989360334034,1,0.0240967778320312,20,24.9999999989523
