id,type,transect,area,height,lat,long
KOES5208,segment,0,0.0205999999529922,0.2547607421875,42.5205330261182,-112.1029033107
KOES5209,segment,0,0.022700000021814,0.1060791015625,42.5205359291424,-112.102582935502
KOES5210,segment,0,0.0724999999533793,0.2799072265625,42.5205321822568,-112.102944201335
KOES5211,segment,0,0.0297999999552303,0.135498046875,42.5205313294715,-112.103023440696
KOES5212,segment,0,0.064499999943564,0.2279052734375,42.5205314220347,-112.103013824667
KOES5213,segment,0,0.0386999999282125,0.1474609375,42.520531796966,-112.102974873666
KOES5214,segment,0,0.0748000000521643,0.12060546875,42.5205315897596,-112.10298704427
KOES5215,segment,0,0.099799999994957,0.113037109375,42.5205279806626,-112.103352573461
KOES5216,segment,0,0.0210999999544583,0.106201171875,42.5205309127037,-112.103048025347
KOES5217,segment,0,0.0260999998913576,0.1959228515625,42.5205316051661,-112.102976087717
KOES5218,segment,0,0.0474999999828469,0.12890625,42.5205334446415,-112.102775610185
KOES5219,segment,0,0.109000000038577,0.13818359375,42.5205316179156,-112.102918625485
KOES5220,segment,0,0.0242000000312146,0.1365966796875,42.5205307127751,-112.102984593993
KOES5221,segment,0,0.0163000000038664,0.113037109375,42.5205308076783,-112.102974734521
KOES5222,segment,0,0.0570000000693653,0.1138916015625,42.5205336324246,-112.102662514709
KOES5223,segment,0,0.0217000000120606,0.103759765625,42.5205307486184,-112.102943445663
KOES5224,segment,0,0.0799000001388777,0.1181640625,42.5205309794223,-112.102919466452
KOES5225,segment,0,0.01990000004389,0.14453125,42.5205327051753,-112.102730795942
KOES5226,segment,0,0.0755000000035579,0.171142578125,42.5205301315168,-112.102988844756
KOES5227,segment,0,0.0383999999680782,0.18408203125,42.5205302404801,-112.102977524621
