id,type,transect,area,height,lat,long,y,ht_true,z
KOES11896,segment,0,0.058199999876251,0.1156005859375,42.5199642260309,-112.10304365671,1,,101
KOES11897,segment,0,0.044800000072883,0.1055908203125,42.5199670869371,-112.102746414551,1,,101
KOES11898,segment,0,0.071300000115116,0.1024169921875,42.5199693345858,-112.102512832332,1,,101
KOES11899,segment,0,0.028899999996156,0.1390380859375,42.5199683239909,-112.102608503302,1,,101
KOES11900,segment,0,0.138899999828482,0.205810546875,42.5199699120708,-112.102443449886,1,,101
KOES11901,segment,0,0.150000000052387,0.1016845703125,42.5199643915932,-112.103007745913,1,,101
KOES11902,segment,0,0.085299999976087,0.1353759765625,42.519966167845,-112.102813843119,1,,101
KOES11903,segment,0,0.010500000017601,0.1326904296875,42.5199680994002,-112.102613125526,1,,101
KOES11904,segment,0,0.012100000009923,0.160400390625,42.5199675398272,-112.102652559899,1,,101
KOES11905,segment,0,0.015399999906549,0.1224365234375,42.519968715732,-112.102530352212,1,,101
KOES11906,segment,0,0.039800000039577,0.144775390625,42.5199668149301,-112.102718530988,1,,101
KOES11907,segment,0,0.022999999984677,0.16943359375,42.5199676219629,-112.102634665358,1,,101
KOES11908,segment,0,0.033799999940129,0.23291015625,42.5199681725842,-112.102568082495,1,,101
KOES11909,segment,0,0.092699999910565,0.1253662109375,42.519963758781,-112.103017352351,1,,101
KOES11910,segment,0,0.036800000083986,0.10888671875,42.5199672569646,-112.102644519992,1,,101
KOES11911,segment,0,0.035299999930885,0.2293701171875,42.5199678882637,-112.10257891248,1,,101
KOES11912,segment,0,0.122099999919101,0.1710205078125,42.5199662720301,-112.102737513098,1,,101
KOES11913,segment,0,0.042300000066462,0.1129150390625,42.5199662010366,-112.102716815812,1,,101
KOES11914,segment,0,0.024300000009134,0.2142333984375,42.5199676135944,-112.102570020529,1,,101
